Loi,E,F,N
a::06.8573,Henri without a name [Fictitious printer],Henri sans nom [Imprimeur fictif],Henri zonder naam [Fictieve drukker]
a::06.8574,"Boetveirdig, Petrus [Fictitious printer]","Boetveirdig, Petrus [Imprimeur fictif]","Boetveirdig, Petrus [Fictieve drukker]"
a::06.8581,"Dujardin, Hubert [Widow]","Dujardin, Hubert [Veuve]","Dujardin, Hubert [Weduwe]"
a::06.8582,"Defer de Maisonneuve, André","Defer de Maisonneuve, André","Defer de Maisonneuve, André"
a::06.8587,"Liesvelt, van, Adriaen","Liesvelt, van, Adriaen","Liesvelt, van, Adriaen"
a::06.8590,"Martens, Dirk & Joannes de Westfalia Paderbornensis","Martens, Dirk & Joannes de Westfalia Paderbornensis","Martens, Dirk & Joannes de Westfalia Paderbornensis"
a::06.8593,"Seversz, Jan","Seversz, Jan","Seversz, Jan"
a::06.8595,"Vos, de, Carolus & Joannes-Baptista de Vos","Vos, de, Carolus & Joannes-Baptista de Vos","Vos, de, Carolus & Joannes-Baptista de Vos"
a::06.8611,"Boutefeux, Françhois [Fictitious printer]","Boutefeux, Françhois [Imprimeur fictif]","Boutefeux, Françhois [Fictieve drukker]"
a::06.8615,"Hasselt, van, Augustin","Hasselt, van, Augustin","Hasselt, van, Augustijn"
a::06.8625,"Birckman, Arnold II","Birckman, Arnold II","Birckman, Arnold II"
a::06.8635,"Sterre, van der, Govert","Sterre, van der, Govert","Sterre, van der, Govert"
a::06.8648,Kruismeester,Kruismeester,Kruismeester
a::06.8650,"Vissenaken, van, Willem & Adriaen Verbruggen","Vissenaken, van, Willem & Adriaen Verbruggen","Vissenaken, van, Willem & Adriaen Verbruggen"
a::06.8663,"Brauw, de, Philippus [Widow]","Brauw, de, Philippus [Veuve]","Brauw, de, Philippus [Weduwe]"
a::06.8670,"Kluchten, van, Hans [Fictitious printer]","Kluchten, van, Hans [Imprimeur fictif]","Kluchten, van, Hans [Fictieve drukker]"
a::06.8671,"Cholinus, Maternus","Cholinus, Maternus","Cholinus, Maternus"
a::06.8676,"Jacobszoon, Bartholomaeus","Jacobszoon, Bartholomaeus","Jacobszoon, Bartholomaeus"
a::06.8677,"Corbeels, Petrus [Widow]","Corbeels, Petrus [Veuve]","Corbeels, Petrus [Weduwe]"
a::06.8679,"Dunwalt, van, Henricus & Bartholomeus Foppens [Heirs of the widow]","Dunwalt, van, Henricus & Bartholomeus Foppens [Héritiers de la veuve]","Dunwalt, van, Henricus & Bartholomeus Foppens [Erfgenamen van de weduwe]"
a::06.8680,"Gennep, von, Jaspar","Gennep, von, Jaspar","Gennep, von, Jaspar"
a::06.8681,"Rescius, Rutgerus & Bartholomeus Gravius","Rescius, Rutgerus & Bartholomeus Gravius","Rescius, Rutgerus & Bartholomeus Gravius"
a::06.8693,"Hoorn, ten, Nicolaas","Hoorn, ten, Nicolaas","Hoorn, ten, Nicolaas"
a::06.8704,Paus Jut [Heirs] [Fictitious printer],Paus Jut [Héritiers] [Imprimeur fictif],Paus Jut [Erfgenamen] [Fictieve drukker]
a::06.8706,"Grentzius, Theophilus Henricus","Grentzius, Theophilus Henricus","Grentzius, Theophilus Henricus"
a::06.8708,"Wijtmans, Theodorus","Wijtmans, Theodorus","Wijtmans, Theodorus"
a::06.8709,"Denique, Petrus Josephus","Denique, Petrus Josephus","Denique, Petrus Josephus"
a::06.8710,penningmeester Broederschap van het H. Sacrament [Turnhout],penningmeester Broederschap van het H. Sacrament [Turnhout],penningmeester Broederschap van het H. Sacrament [Turnhout]
a::06.8717,"Cool, van, Lambert","Cool, van, Lambert","Cool, van, Lambert"
a::06.8723,"Simonis, Franciscus & Everaert de Witte","Simonis, Franciscus & Everaert de Witte","Simonis, Franciscus & Everaert de Witte"
a::06.8726,"Perret, Etienne","Perret, Etienne","Perret, Etienne"
a::06.8727,"Société typographique, Olivier Le May et compagnie","Société typographique, Olivier Le May et compagnie","Société typographique, Olivier Le May et compagnie"
a::06.8728,"Elzevier, Isaac","Elzevier, Isaac","Elzevier, Isaac"
a::06.8740,"Anisson, Florián","Anisson, Florián","Anisson, Florián"
a::06.8744,"Jacobs, Guilielmus","Jacobs, Guilielmus","Jacobs, Guilielmus"
a::06.8781,"Tournay, Jean","Tournay, Jean","Tournay, Jean"
a::06.8782,"Woons, Guilielmus Jacobus","Woons, Guilielmus Jacobus","Woons, Guilielmus Jacobus"
a::06.8783,"Meurs, van, Jacob","Meurs, van, Jacob","Meurs, van, Jacob"
a::06.8786,A soldier of the moon [Fictitious printer],Un soldat de la lune [Imprimeur fictif],Een soldaat van de maan [Fictieve drukker]
a::06.8787,The patriotic booksellers,Les libraires patriotes,De patriottische boekverkopers
a::06.8790,Imprimerie des Champs Elysées [Fictitious printer],Imprimerie des Champs Elysées [Imprimeur fictif],Imprimerie des Champs Elysées [Fictieve drukker]
a::06.8791,Novelty store [Fictitious printer],Magasin de nouveautés [Imprimeur fictif],Winkel van de nieuwigheden [Fictieve drukker]
a::06.8792,"Vérité, P.D. [Fictitious printer]","Vérité, P.D. [Imprimeur fictif]","Vérité, P.D. [Fictieve drukker]"
a::06.8793,"Vechten, van, Cornelis","Vechten, van, Cornelis","Vechten, van, Cornelis"
a::06.8795,Printer of the moon [Fictitious printer],Imprimerie de la lune [Imprimeur fictif],Drukkerij van de maan [Fictieve drukker]
a::06.8796,Pluto's printing office [Fictitious printer],Imprimerie de Pluton [Imprimeur fictif],Drukkerij van Pluto [Fictieve drukker]
a::06.8799,plon,plon,plon
a::06.8800,"Printing house of the four chatterboxes, from the moon [Fictitious printer]","Imprimerie des quatre commères, descendues de la lune [Imprimeur fictif]","Drukkerij van de vier kletswijven, van de maan afkomstig [Fictieve drukker]"
a::06.8801,"Langelier, Arnoul","Langelier, Arnoul","Langelier, Arnoul"
a::06.8803,"Bogaerd, vanden, Plancius","Bogaerd, vanden, Plancius","Bogaerd, vanden, Plancius"
a::06.8804,"Jevenois, A.","Jevenois, A.","Jevenois, A."
a::06.8808,"Huré, Hyacinthe","Huré, Hyacinthe","Huré, Hyacinthe"
a::06.8810,"Werchter, van, Jan Baptist","Werchter, van, Jan Baptist","Werchter, van, Jan Baptist"
a::06.8814,Printer of Journal de ****,Imprimerie du Journal de ****,Drukkerij van Journal de ****
a::06.8815,Printer of Journal patriotique,Imprimerie du Journal patriotique,Drukkerij van Journal patriotique
a::06.8817,Common sense [Fictitious printer],Sens commun [Imprimeur fictif],Gezond verstand [Fictieve drukker]
a::06.8818,"Volontaire, J.B.R. [Fictitious printer]","Volontaire, J.B.R. [Imprimeur fictif]","Volontaire, J.B.R. [Fictieve drukker]"
a::06.8819,Minos & Radamanthe [Fictitious printer],Minos & Radamanthe [Imprimeur fictif],Minos & Radamanthe [Fictieve drukker]
a::06.8820,Belgian printing house [Fictitious printer],Imprimerie belge [Imprimeur fictif],Belgische drukkerij [Fictieve drukker]
a::06.8823,"Jansen, Cornelis [Heirs] [Fictitious printer]","Jansen, Cornelis [Héritiers] [Imprimeur fictif]","Jansen, Cornelis [Erfgenamen] [Fictieve drukker]"
a::06.8824,"Broeder, de, Dominicus","Broeder, de, Dominicus","Broeder, de, Dominicus"
a::06.8825,"Schouten, Nicolaes [Fictitious printer]","Schouten, Nicolaes [Imprimeur fictif]","Schouten, Nicolaes [Fictieve drukker]"
a::06.8826,"Pion, Franciscus [Widow] & Hayez [Son]","Pion, Franciscus [Veuve] & Hayez [Fils]","Pion, Franciscus [Weduwe] & Hayez [Zoon]"
a::06.8827,Press philonousienne [Fictitious printer],Imprimerie philonousienne [Imprimeur fictif],Drukkerij philonousienne [Fictieve drukker]
a::06.8828,"Franciscus, Georgius","Franciscus, Georgius","Franciscus, Georgius"
a::06.8843,By the patriots,Chez les patriottes,Bij de patriotten
a::06.8848,"Loe, van der, Hendrik","Loe, van der, Hendrik","Loe, van der, Hendrik"
a::06.8849,"Cocus, Petrus","Cocus, Petrus","Cocus, Petrus"
a::06.8855,Patriot printing press,Presse écrite patriotique,Vaderlandse drukpers
a::06.8861,To the truth and to posterity [Fictitious printer],A la vérité et à la postérité [Imprimeur fictif],Aan de waarheid en aan het nageslacht [Fictieve drukker]
a::06.8867,Vrijheidsminnende Drukkerij,Vrijheidsminnende Drukkerij,Vrijheidsminnende Drukkerij
a::06.8869,Press of the States,Imprimerie des Etats,Drukkerij van de Staten
a::06.8875,Goesin,Goesin,Goesin
a::06.8888,"Jeune, le, Martin","Jeune, le, Martin","Jeune, le, Martin"
a::06.8892,"Bruyn, de, Hendrick","Bruyn, de, Hendrick","Bruyn, de, Hendrick"
a::06.8897,the true Belgian [Fictitious printer],le vrai Belge [Imprimeur fictif],de ware Belg [Fictieve drukker]
a::06.8898,Democratic printing house,Imprimerie démocratique,Democratische drukkerij
a::06.8899,Temple of Truth [Fictitious printer],Temple de la verité [Imprimeur fictif],Tempel der waarheid [Fictieve drukker]
a::06.8903,"Clouzier, Gervais [Widow]","Clouzier, Gervais [Veuve]","Clouzier, Gervais [Weduwe]"
a::06.8921,Merchants of novelties [Fictitious printer],Marchands de nouveautés [Imprimeur fictif],Verkopers van nieuwigheden [Fictieve drukker]
a::06.8923,Assembly of the real citizens [Fictitious printer],Assemblée des vrais citoyens [Imprimeur fictif],Assemblee van de ware burgers [Fictieve drukker]
a::06.8924,"Persoons, Martinus Gerardus","Persoons, Martinus Gerardus","Persoons, Martinus Gerardus"
a::06.8925,P.F. Slaets,P.F. Slaets,P.F. Slaets
a::06.8930,Friends of church and state [Fictitious printer],Amis de l'église et de l'état [Imprimeur fictif],Vrienden van kerk en staat [Fictieve drukker]
a::06.8931,The main booksellers,Les principaux libraires,De voornaamste boekverkopers
a::06.8955,"Bricx, Bernard","Bricx, Bernard","Bricx, Bernard"
a::06.8968,Constitutional press,Imprimerie constitutionelle,Grondwettelijke drukkerij
a::06.8976,"Blaeu, Joan I","Blaeu, Joan I","Blaeu, Joan I"
a::06.8983,"Regtmans, Johhenr.","Regtmans, Johhenr.","Regtmans, Johhenr."
a::06.8984,"Crinitus, Joannes","Crinitus, Joannes","Crinitus, Joannes"
a::06.8986,"Caju, du, Antonius Josephus","Caju, du, Antonius Josephus","Caju, du, Antonius Josephus"
a::06.8987,"Slevens, Joannes Baptista","Slevens, Jean-Baptiste","Slevens, Joannes Baptista"
a::06.9011,"Manilius, Cornelius","Manilius, Cornelius","Manilius, Cornelius"
a::06.9033,"Brouw, de, Philippus","Brouw, de, Philippus","Brouw, de, Philippus"
a::06.9036,Press of the heavenly Jerusalem [Fictitious printer],Imprimerie de la Jérusalem céleste [Imprimeur fictif],Drukkerij van het hemelse Jeruzalem [Fictieve drukker]
a::06.9037,The crowned lion [Fictitious printer],Le lion couronné [Imprimeur fictif],De gekroonde leeuw [Fictieve drukker]
a::06.9038,All the booksellers of the rejoiced Netherlands,Tous les libraires des Pays-Bas réjouis,Alle boekverkopers van het verheugde Nederland
a::06.9043,"Seneuze, Jacques III","Seneuze, Jacques III","Seneuze, Jacques III"
a::06.9050,Press of the armies of the North and of Sambre and Meuse,Imprimerie des armées du Nord et de Sambre-et-Meuse,Drukkerij van de legers van het Noorden en van Samber en Maas
a::06.9057,"Marchant, J. Lambert [Widow]","Marchant, J. Lambert [Veuve]","Marchant, J. Lambert [Weduwe]"
a::06.9063,"Saint Nicolas, post office","Saint-Nicolas, office postale","Sint-Niklaas, posterij"
a::06.9064,"Lostermans, Hendrik Josephus","Lostermans, Hendrik Josephus","Lostermans, Hendrik Josephus"
a::06.9065,"Graet, Michiel","Graet, Michiel","Graet, Michiel"
a::06.9084,"Molin, Horace","Molin, Horace","Molin, Horace"
a::06.9100,"Hasselt, van, Peeter","Hasselt, van, Peeter","Hasselt, van, Peeter"
a::06.9101,"Aelbrechts, Hendrick","Aelbrechts, Hendrick","Aelbrechts, Hendrick"
a::06.9108,"Argelati, Filippo","Argelati, Filippo","Argelati, Filippo"
a::06.9111,"Novelli, Joannes Baptist","Novelli, Joannes Baptist","Novelli, Joannes Baptist"
a::06.9113,"Potage, Jean [Fictitious printer]","Potage, Jean [Imprimeur fictif]","Potage, Jean [Fictieve drukker]"
a::06.9123,"Camp, van, Jacobus","Camp, van, Jacobus","Camp, van, Jacobus"
a::06.9125,"Rammazeyn, Johannes","Rammazeyn, Johannes","Rammazeyn, Johannes"
a::06.9126,"Maurice, Jean Baptiste","Maurice, Jean Baptiste","Maurice, Jean Baptiste"
a::06.9127,"Fiévet, Ignace & Liévin Danel","Fiévet, Ignace & Liévin Danel","Fiévet, Ignace & Liévin Danel"
a::06.9129,"Bronckart, Jean","Bronckart, Jean","Bronckart, Jean"
a::06.9145,"Preuveray, François","Preuveray, François","Preuveray, François"
a::06.9146,"Mylius, Arnold","Mylius, Arnold","Mylius, Arnold"
a::06.9147,"Kempen, von, Gottfried","Kempen, von, Gottfried","Kempen, von, Gottfried"
a::06.9148,"Boudot, Jean","Boudot, Jean","Boudot, Jean"
a::06.9162,"Lyndanus, Theodorus","Lyndanus, Theodorus","Lyndanus, Theodorus"
a::06.9169,"Scheper, Hendrik","Scheper, Hendrik","Scheper, Hendrik"
a::06.9170,"Scheper, Hendrik","Scheper, Hendrik","Scheper, Hendrik"
a::06.9171,"Scheper, Hendrik","Scheper, Hendrik","Scheper, Hendrik"
a::06.9175,"Dorpe, van den, Roelant","Dorpe, van den, Roelant","Dorpe, van den, Roelant"
a::06.9176,"Caxton, William","Caxton, William","Caxton, William"
a::06.9177,"Leeu, Claes","Leeu, Claes","Leeu, Claes"
a::06.9190,"Voorstermans, Joannes","Voorstermans, Joannes","Voorstermans, Joannes"
a::06.9212,"Cruys, van der, Jan Baptist","Cruys, van der, Jan Baptist","Cruys, van der, Jan Baptist"
a::06.9219,"Mommaert, Jan I & Jan Reyns","Mommaert, Jan I & Jan Reyns","Mommaert, Jan I & Jan Reyns"
a::06.9220,"Willemsens, Joannes Petrus II","Willemsens, Joannes Petrus II","Willemsens, Joannes Petrus II"
a::06.9221,Imprimerie nationale,Imprimerie nationale,Imprimerie nationale
a::06.9222,"Compagnie, la","Compagnie, la","Compagnie, la"
a::06.9223,"Cleef, van, Isaac","Cleef, van, Isaac","Cleef, van, Isaac"
a::06.9225,"Bossange, Martin, Masson, Joseph-René & Besson, P.","Bossange, Martin, Masson, Joseph-René & Besson, P.","Bossange, Martin, Masson, Joseph-René & Besson, P."
a::06.9226,"Lakeman, Balthazar","Lakeman, Balthazar","Lakeman, Balthazar"
a::06.9227,"Kleber, Jean-Baptiste [Widow]","Kleber, Jean-Baptiste [Weduwe]","Kleber, Jean-Baptiste [Weduwe]"
a::06.9234,"Purfoot, Thomas I","Purfoot, Thomas I","Purfoot, Thomas I"
a::06.9247,"Savena, Louis","Savena, Louis","Savena, Louis"
a::06.9270,"Mierdmans, Steven","Mierdmans, Steven","Mierdmans, Steven"
a::06.9275,Printer of liberty [Fictitious printer],Imprimerie de la liberté [Imprimeur fictif],Drukkerij van de vrijheid [Fictieve drukker]
a::06.9280,"Aertssens, Hendrik III [mystification]","Aertssens, Hendrik III [mystification]","Aertssens, Hendrik III [mystificatie]"
a::06.9283,"Burtin, François-Xavier","Burtin, François-Xavier","Burtin, François-Xavier"
a::06.9284,"Raphelengius, Franciscus II","Raphelengius, Franciscus II","Raphelengius, Franciscus II"
a::06.9286,"Stichter, Joannes I & Frederik van Metelen","Stichter, Joannes I & Frederik van Metelen","Stichter, Joannes I & Frederik van Metelen"
a::06.9287,"Liesvelt, van, Jacob [Widow]","Liesvelt, van, Jacob [Veuve]","Liesvelt, van, Jacob [Weduwe]"
a::06.9288,"Everhardus, Nicolaus","Everhardus, Nicolaus","Everhardus, Nicolaus"
a::06.9289,"Grave, de, Claes","Grave, de, Claes","Grave, de, Claes"
a::06.929,"Parijs, van, Guilliaem","Parijs, van, Guilliaem","Parijs, van, Guilliaem"
a::06.9291,"Dormael, van, Abraham","Dormael, van, Abraham","Dormael, van, Abraham"
a::06.9295,"Parijs, van, Silvester","Parijs, van, Silvester","Parijs, van, Silvester"
a::06.9298,"Roelofs, Engelbert","Roelofs, Engelbert","Roelofs, Engelbert"
a::06.9300,"Jansz, Philips","Jansz, Philips","Jansz, Philips"
a::06.9302,"Bernaert, Jacob [Fictitious printer]","Bernaert, Jacob [Imprimeur fictif]","Bernaert, Jacob [Fictieve drukker]"
a::06.9308,"Eynden, vanden, Theodorus","Eynden, vanden, Theodorus","Eynden, vanden, Theodorus"
a::06.9321,Typis Basilicis [Fictitious printer],Typis Basilicis [Imprimeur fictif],Typis Basilicis [Fictieve drukker]
a::06.9370,"Tongheren, van, Petrus & Gheleyn Janssens","Tongheren, van, Petrus & Gheleyn Janssens","Tongheren, van, Petrus & Gheleyn Janssens"
a::06.9371,"Marius, Hendrick Jansz.","Marius, Hendrick Jansz.","Marius, Hendrick Jansz."
a::06.9402,"Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & weduwe en zoon van Joannes Baptista Verdussen","Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & weduwe en zoon van Joannes Baptista Verdussen","Verdussen, Henricus II & Cornelius I Verdussen & Bartholomeus Foppens & weduwe en zoon van Joannes Baptista Verdussen"
a::06.9406,"Léonard, Frédéric I","Léonard, Frédéric I","Léonard, Frédéric I"
a::06.9411,"Jacobsz, Isbrandt","Jacobsz, Isbrandt","Jacobsz, Isbrandt"
a::06.9412,"Laurent, Nicolas","Laurent, Nicolas","Laurent, Nicolas"
a::06.9413,"Kribber, Cornelis","Kribber, Cornelis","Kribber, Cornelis"
a::06.9426,"Wechel, Chrétien","Wechel, Chrétien","Wechel, Chrétien"
a::06.9427,"Lapide, à, Gaspar","Lapide, à, Gaspar","Lapide, à, Gaspar"
a::06.9435,"Henry, Jean-Baptiste-Joseph","Henry, Jean-Baptiste-Joseph","Henry, Jean-Baptiste-Joseph"
a::06.9446,"Demen, Hermann","Demen, Hermann","Demen, Hermann"
a::06.9451,"Vivien, Franciscus","Vivien, Franciscus","Vivien, Franciscus"
a::06.9457,"Jaye, Hendrick [Widow]","Jaye, Hendrick [Veuve]","Jaye, Hendrick [Weduwe]"
a::06.9463,"Colpyn, Andreas [Widow]","Colpyn, Andreas [Veuve]","Colpyn, Andreas [Weduwe]"
a::06.9471,"Bats, de, Pierre II","Bats, de, Pierre II","Bats, de, Pierre II"
a::06.9473,"Hart, van der, Joannes","Hart, van der, Joannes","Hart, van der, Joannes"
a::06.9482,"Ruyter, de, Jacobus","Ruyter, de, Jacobus","Ruyter, de, Jacobus"
a::06.9487,"Brepols, Philippus Jacobus","Brepols, Philippus Jacobus","Brepols, Philippus Jacobus"
a::06.9488,"Wetstein, Rudolf & Wetstein, Gerard","Wetstein, Rudolf & Wetstein, Gerard","Wetstein, Rudolf & Wetstein, Gerard"
a::06.9495,Lucifer [Fictitious printer],Lucifer [Imprimeur fictif],Lucifer [Fictieve drukker]
a::06.9496,"Pepermans, Jan II","Pepermans, Jean II","Pepermans, Jan II"
a::06.9498,"Luynes, de, Guillaume","Luynes, de, Guillaume","Luynes, de, Guillaume"
a::06.9501,Printer of Courier belgique,Imprimerie du Courier belgique,Drukkerij van Courier belgique
a::06.9505,"Kaliwoda, Leopold Johann","Kaliwoda, Leopold Johann","Kaliwoda, Leopold Johann"
a::06.9517,"Gaultherot, Vivant","Gaultherot, Vivant","Gaultherot, Vivant"
a::06.9519,"Morin, Martin","Morin, Martin","Morin, Martin"
a::06.9543,"Walwein, J.T.","Walwein, J.T.","Walwein, J.T."
a::06.9547,"Bouman, Jan Jacobsz.","Bouman, Jan Jacobsz.","Bouman, Jan Jacobsz."
a::06.9554,"Romyn, Cornelis","Romyn, Cornelis","Romyn, Cornelis"
a::06.9556,"Overbeke, van, Henricus [Widow]","Overbeke, van, Henricus [Veuve]","Overbeke, van, Henricus [Weduwe]"
a::06.9558,"Kalckhoven, Wilhelm","Kalckhoven, Wilhelm","Kalckhoven, Wilhelm"
a::06.9560,"Sassenus, Servatius I [Widow and heirs]","Sassenus, Servatius I [Veuve et héritiers]","Sassenus, Servatius I [Weduwe en erfgenamen]"
a::06.9566,"Elzevier, Bonaventura","Elzevier, Bonaventura","Elzevier, Bonaventura"
a::06.9571,"Schilders, Jacobus","Schilders, Jacobus","Schilders, Jacobus"
a::06.9572,"Morterre, Jan","Morterre, Jan","Morterre, Jan"
a::06.9573,"Gartman, Hendrik","Gartman, Hendrik","Gartman, Hendrik"
a::06.9574,"Charpentier, Jacques [Widow] & Laurent Le Conte","Charpentier, Jacques [Weduwe] & Laurent Le Conte","Charpentier, Jacques [Veuve] & Laurent Le Conte"
a::06.9591,"Meganck, François Dominique","Meganck, François Dominique","Meganck, François Dominique"
a::06.9594,"Elzevier, Lodewijk III","Elzevier, Lodewijk III","Elzevier, Lodewijk III"
a::06.9601,"Vivien, Franciscus [Heirs]","Vivien, Franciscus [Héritiers]","Vivien, Franciscus [Erfgenamen]"
a::06.9610,"Petit, le, Pierre","Petit, le, Pierre","Petit, le, Pierre"
a::06.9616,Stamperia Apostolica Vaticana,Stamperia Apostolica Vaticana,Stamperia Apostolica Vaticana
a::06.9617,"Schryvers, Cornelius Balthasar","Schryvers, Cornelius Balthasar","Schryvers, Cornelius Balthasar"
a::06.9623,"Pannes, Coenraed [Widow]","Pannes, Coenraed [Veuve]","Pannes, Coenraed [Weduwe]"
a::06.9625,"Chapuis, Antoine & Jean Zimmerli","Chapuis, Antoine & Jean Zimmerli","Chapuis, Antoine & Jean Zimmerli"
a::06.9626,"Chapuis, Antoine","Chapuis, Antoine","Chapuis, Antoine"
a::06.9627,"Pellet, Pierre","Pellet, Pierre","Pellet, Pierre"
a::06.9638,"Gaesbeeck, van, Adriaen","Gaesbeeck, van, Adriaen","Gaesbeeck, van, Adriaen"
a::06.9653,"Fuchs, Jena-Jacques","Fuchs, Jean-Jacques","Fuchs, Jean-Jacques"
a::06.9695,"Does, de, Frans","Does, de, Frans","Does, de, Frans"
a::06.9706,"Mesens, Jacques","Mesens, Jacques","Mesens, Jacques"
a::06.9723,"Keerberghen, van, Peeter [Widow]","Keerberghen, van, Peeter [Veuve]","Keerberghen, van, Peeter [Weduwe]"
a::06.9727,"Dunwalt, van, Hendrick II [Widow]","Dunwalt, van, Hendrick II [Veuve]","Dunwalt, van, Hendrick II [Weduwe]"
a::06.9728,"Wolters, Joannes","Wolters, Joannes","Wolters, Joannes"
a::06.9735,"Moretus, Jan I & Jan I van Keerberghen","Moretus, Jan I & Jan I van Keerberghen","Moretus, Jan I & Jan I van Keerberghen"
a::06.9744,"Soutter, de, Petrus Jacobus","Soutter, de, Petrus Jacobus","Soutter, de, Petrus Jacobus"
a::06.99,Hollandse krijger [Fictitious printer],Hollandse krijger [Imprimeur fictif],Hollandse krijger [Fictieve drukker]
a::06.99.10,"Voortganck, van, Haest [Fictitious printer]","Voortganck, van, Haest [Imprimeur fictif]","Voortganck, van, Haest [Fictieve drukker]"
a::06.99.2,"Weert, de, Hans [Fictitious printer]","Weert, de, Hans [Imprimeur fictif]","Weert, de, Hans [Fictieve drukker]"
a::06.99.3,"Bestuur, van zwarte inkt en wit papier [Fictitious printer]","Bestuur, van zwarte inkt en wit papier [Imprimeur fictif]","Bestuur, van zwarte inkt en wit papier [Fictieve drukker]"
a::06.99.4,"Oor, met een, Jan [Fictitious printer]","Oor, met een, Jan [Imprimeur fictif]","Oor, met een, Jan [Fictieve drukker]"
a::06.99.6,"Bockhorinc, Arminius [Fictitious printer]","Bockhorinc, Arminius [Imprimeur fictif]","Bockhorinc, Arminius [Fictieve drukker]"
a::06.99.7,"Ruytgersij, Jani [Fictitious printer]","Ruytgersij, Jani [Imprimeur fictif]","Ruytgersij, Jani [Fictieve drukker]"
a::06.99.8,"Sonder-gront, Joris Jansz. [Fictitious printer]","Sonder-gront, Joris Jansz. [Imprimeur fictif]","Sonder-gront, Joris Jansz. [Fictieve drukker]"
a::06.99.9,"Stavoren, van, Hendrick [Fictitious printer]","Stavoren, van, Hendrick [Imprimeur fictif]","Stavoren, van, Hendrick [Fictieve drukker]"
